Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
LockMode;Aalst;Anon2;0;5;2;6;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
löschen;Aalst;Anon2;0;5;2;9;0;0;1;1;0,0000;0,4000;1,0000;1,0000;0,0000;0,0000;0,2000;0,3333;0,0000;0,0000
MarkdownFile;Aalst;Anon2;0;4;2;8;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Nachrichten;Aalst;Anon2;0;6;2;7;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
Notebook_Aufsetzen;Aalst;Anon2;0;8;2;13;0;0;1;1;0,1250;0,1250;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Reperatur;Aalst;Anon2;0;6;2;10;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,2000;0,3333;0,0000;0,0000
Saisonware;Aalst;Anon2;0;11;2;18;0;0;2;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
SignaturVorgang;Aalst;Anon2;0;3;2;7;1;1;0;0;0,0000;0,3333;1,0000;1,0000;0,0000;1,0000;0,3333;0,5000;0,0000;0,1429
Sitzung;Aalst;Anon2;0;4;2;8;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Solution_releasen;Aalst;Anon2;0;15;2;26;1;1;2;2;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
speichern_neuanlage;Aalst;Anon2;0;4;2;8;1;1;0;0;0,0000;0,2500;1,0000;1,0000;0,0000;0,5000;0,1429;0,3333;0,0000;0,0000
speichern_änderungsmodus;Aalst;Anon2;0;2;2;6;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,5000;0,5000;0,0000;0,0000
spl_Termin_neuberechnen;Aalst;Anon2;0;14;2;21;2;2;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Sql_Phase1_2_3;Aalst;Anon2;0;7;2;14;1;1;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
TraceNummer;Aalst;Anon2;0;10;2;17;1;1;1;1;0,0000;0,4000;1,0000;1,0000;1,0000;0,0000;1,0000;0,3333;0,0000;0,0000
Transaktion;Aalst;Anon2;0;2;2;3;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
TransportmittelFürFahrtenbuch;Aalst;Anon2;0;4;2;8;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,3333;0,3333;0,0000;0,0000
Verkaufspreisfindung;Aalst;Anon2;0;21;2;22;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
ViewUnitRetrieveType;Aalst;Anon2;0;7;2;11;1;1;0;0;0,0000;0,1429;1,0000;1,0000;0,0000;0,5000;0,3333;0,1667;0,0000;0,0909
vkpr_import_schnittstelle;Aalst;Anon2;0;9;2;19;2;2;1;1;0,2500;0,1111;1,0000;1,0000;0,5000;0,1667;0,5000;0,0833;0,0000;0,0000
Warenbeschaffung;Aalst;Anon2;0;3;2;8;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,1250;0,2500;0,0000;0,0000
Zugriff_DOT;Aalst;Anon2;0;7;2;18;1;1;2;2;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,3333;0,1000;0,0000;0,0000
Änderungen;Aalst;Anon2;0;5;2;12;1;1;1;1;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,2500;0,2500;0,0000;0,0000
